Code,Town,Name
SID006,Alwar ,
JPR259,Chomu ,Chomu
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR145,Rawatbhata ,Rawatbhata
JPR274,Phagi,Phagi - Renwal
JPR145,N/A,
SID006,Alwar ,Alwar
JPR259,Samod,Chomu
JPR145,Shahbad,Shahbad
JPR156,Dausa ,Dausa
JPR274,DHIKHOLIYA,Aligarh - Uniara
SID006,Khairthal ,Kishangarh Khairthal
SID006,Alwar ,Alwar
JPR145,Kailwada,
JPR156,Dausa ,Dausa
JPR274,NANER,
SID006,Khairthal ,Kishangarh Khairthal
SID006,Alwar ,
SID006,Alwar ,
SID006,Ramgarh ,
JPR259,Samod,Chomu
JPR156,Paota,
JPR182,Dhaulpur  ,Dhaulpur
JPR182,Kumher ,Deeg - Kumher
SID006,Tatarpur,Harsoli Mundawar
SID006,Harsora,Harsoli Mundawar
SID006,Alwar ,
SID006,Alwar ,Alwar
JPR259,Chomu ,Chomu
SID006,Bhiwadi ,Bhiwadi
JPR145,Pirawa,Sumel - Pirawa
JPR274,UNIYARA,Aligarh - Uniara
JPR274,Tonk  ,Tonk
JPR259,N/A,
JPR182,N/A,
JPR120,Kota   ,
JPR259,N/A,
JPR274,SHIVAD,Bonli - Shivad
JPR156,Paota,
JPR120,Kota   ,
JPR145,N/A,
JPR145,N/A,
SID006,Alwar ,
JPR274,Nadoti,Nadoti
SID006,Alwar ,
JPR274,PEEPLU,
JPR259,N/A,
JPR274,UNIYARA,Aligarh - Uniara
JPR274,Malarna Doongar,Gangapur City
JPR120,Kota   ,
JPR156,Manoharpur ,Manoharpur - Gathwadi
JPR120,N/A,
JPR182,Kathumer,Kherli - Kathumer
JPR182,N/A,
JPR120,Kota   ,
JPR120,Kota   ,
JPR182,Nagar ,Pahari - Seekri
JPR120,N/A,
JPR120,Kota   ,
JPR145,N/A,
JPR182,Deeg ,Deeg - Kumher
JPR156,Vatika,
SID006,Alwar ,Alwar
JPR259,Samod,Chomu
JPR259,Kishangarh Renwal ,Kishangarh Renwal 
JPR156,Lalsot ,
JPR156,Tunga,
